HB10102689,TPDT-ROUTER-3022,220.128.0.94,TPDT-ROUTER-4101,220.128.0.5,100000,90,90
HB10102688,TPDB-ROUTER-3021,220.128.0.93,TPDT-ROUTER-4101,220.128.0.5,100000,90,90
HB10102686,TPDB-ROUTER-3021,220.128.0.93,TPDT-ROUTER-4101,220.128.0.5,100000,90,90
HB10101804,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3318,220.128.33.22,10000,100,100
HB10102118,TPDT-ROUTER-3011,220.128.0.91,TPDB-ROUTER-3318,220.128.33.22,10000,100,100
HB10101805,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3318,220.128.33.22,10000,100,100
HB10101803,TPDB-ROUTER-3317,220.128.33.21,TPDB-ROUTER-3318,220.128.33.22,10000,100,100
HB10102120,TPDT-ROUTER-3012,220.128.0.92,TPDB-ROUTER-3318,220.128.33.22,10000,100,100
72E-96425,SKC1-ROUTER-3011,220.128.0.199,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
6D-91121,TNE1-ROUTER-3011,220.128.0.231,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
72E-96314,SKC1-ROUTER-3011,220.128.0.199,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
6D-91115,TNE1-ROUTER-3011,220.128.0.231,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
6D-91110,TNE1-ROUTER-3011,220.128.0.231,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
72E-95747,SKC1-ROUTER-3011,220.128.0.199,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
6D-90902,TNE1-ROUTER-3011,220.128.0.231,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
72E-96158,SKC1-ROUTER-3011,220.128.0.199,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
6D-91103,TNE1-ROUTER-3011,220.128.0.231,TNCD-ROUTER-3311,220.128.33.219,10000,160,160
HB10200517,TYFO-ROUTER-3015,220.128.0.45,TYFO-ROUTER-3302,220.128.0.42,100000,100,100
HB10200191,TYFO-ROUTER-3301,220.128.0.41,TYFO-ROUTER-3302,220.128.0.42,10000,200,200
